SMILES;type
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65;DOM
Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)(C)C#N)cc1;SPE
COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1;SPE
C#CCC(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;SPE
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;EOS
C[C@H]1CCC/C=C/C2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1;SPE
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O;SPE
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1.C[C@H]1O[C@]2(CS1)CN1CCC2CC1.Cl;SPE
O=C([O-])C(Cl)Cl;SPE
Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1;SPE
O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Mg].[Mg].[Mg].[O].[O].[O];SPE
CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1.[Gd+3];SPE
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1;SPE
CNc1cc(OC)c(C(O)=N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl.CNc1cc(OC)c(C(O)=N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl;SPE
CC(C)(C)NCC(O)c1cc(O)cc(O)c1;SPE
CCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC(=O)[O-].NC1CCCCC1N.[Pt+2];SPE
N[C@@H](C(=O)O)[C@@H](OCc1ccccc1)C(=O)O.N[C@H](C(=O)O)[C@H](OCc1ccccc1)C(=O)O;SPE
CCCCCCCC(O)=N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2;SPE
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C=C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C.[Fe+3];SPE
